,"Gross Domestic Product by Kind of Activity and Price Deflator-Annual",
,,""
"Period","Kind of Activity","Gross Domestic Product_Current Price(Million N.T.$)"
"1984","¡@NB. Other Support Service Activities",4526
"1984","¡@QA. Human Health Activities",22068
"1984","¡@QB. Social Work Activities",1020
"1984","¡@SA. Activities of Membership Organizations",5409
"1984","¡@SB. Activities of Households as Employers of Domestic Personnel",12978
"1984","¡@SC. Other Personal Service Activities",34176
"1984","Total ( by production approach )",2411382
"1984","Statistical Discrepancy",6858
"1984","GDP",2418240
"1985","¡@AA. Agriculture, Horticulture and Agrarian Activities",95567
"1985","¡@AB.  Animal Husbandry",9993
"1985","¡@AC. Forestry",5954
"1985","¡@AD. Fishing and Aquaculture",33087
"1985","¡@CA.  Manufacture of Food Products and Prepared Animal Feeds",62052
"1985","¡@CB. Manufacture of Beverages and Tobacco Products",51805
"1985","¡@CC. Manufacture of Textiles",81905
"1985","¡@CD. Manufacture of Wearing Apparel and Clothing Accessories",53372
"1985","¡@CE. Manufacture of Leather, Fur and Related Products",40161
"1985","¡@CF. Manufacture of Wood and of Products of Wood and Bamboo Products",15037
"1985","¡@CG. Manufacture of Paper and Paper Products",24703
"1985","¡@CH. Printing and Reproduction of Recorded Media",10162
"1985","¡@CI. Manufacture of Petroleum and Coal Products",32726
"1985","¡@CJ. Manufacture of Chemical Materials",64665
"1985","¡@CK. Manufacture of Other Chemical Products",10085
"1985","¡@CL. Manufacture of Pharmaceuticals and Medicinal Chemical Products",4167
"1985","¡@CM. Manufacture of Rubber Products",10168
"1985","¡@CN. Manufacture of Plastics Products",39689
"1985","¡@CO. Manufacture of Other Non-metallic Mineral Products",36878
"1985","¡@CP. Manufacture of Basic Metals",42044
"1985","¡@CQ. Manufacture of Fabricated Metal Products",46993
"1985","¡@CR. Manufacture of Electronic Parts and Components",38586
"1985","¡@CS. Manufacture of Computers, Electronic and Optical Products",41740
"1985","¡@CT. Manufacture of Electrical Equipment",40111
"1985","¡@CU. Manufacture of Machinery and Equipment",23883
"1985","¡@CV. Manufacture of Motor Vehicles and Parts",23525
"1985","¡@CW. Manufacture of Other Transport Equipment and Parts",25692
"1985","¡@CX. Manufacture of Furniture",10153
"1985","¡@CY. Other Manufacturing",58853
"1985","¡@DA. Electricity Supply",94867
"1985","¡@DB. Gas Supply",18855
"1985","¡@EA. Water Supply",6717
"1985","¡@EB. Remediation Activities",11833
"1985","¡@GA. Wholesale Trade",138913
"1985","¡@GB. Retail Trade",169633
"1985","¡@HA. Land Transportation",65212
"1985","¡@HB. Water Transportation",15538
"1985","¡@HC. Air Transport",9029
"1985","¡@HD. Support Activities for Transportation; Warehousing and Storage",23102
"1985","¡@HE. Postal and Courier Activities",4567
"1985","¡@IA. Accommodation",11854
"1985","¡@IB. Food and Beverage Service Activities",22690
"1985","¡@JA. Publishing, Motion Picture, Video and Music Production and Broadcasting Activities",9257
"1985","¡@JB. Telecommunications",41443
"1985","¡@JC. Related Service of Computer and Information",2654
"1985","K. Financial and Insurance Activities",95964
"1985","¡@KA. Financial Service Activities",75053
"1985","¡@KB. Insurance",19513
"1985","¡@KC. Security, Commodity Contracts and Activities Auxiliary to Financial Service Activities",1398
"1985","¡@LA. Real Estate Activities",11107
"1985","¡@LB. Ownership of Dwellings",121503
"1985","¡@NA. Rental and Leasing Activities",9255
"1985","¡@NB. Other Support Service Activities",5161
"1985","¡@QA. Human Health Activities",24973
"1985","¡@QB. Social Work Activities",1282
"1985","¡@SA. Activities of Membership Organizations",6077
"1985","¡@SB. Activities of Households as Employers of Domestic Personnel",14518
"1985","¡@SC. Other Personal Service Activities",36939
"1985","Total ( by production approach )",2532587
"1985","Statistical Discrepancy",2469
"1985","GDP",2535056
"1986","¡@AA. Agriculture, Horticulture and Agrarian Activities",97052
"1986","¡@AB.  Animal Husbandry",19823
"1986","¡@AC. Forestry",6304
"1986","¡@AD. Fishing and Aquaculture",36574
"1986","¡@CA.  Manufacture of Food Products and Prepared Animal Feeds",68675
"1986","¡@CB. Manufacture of Beverages and Tobacco Products",55161
"1986","¡@CC. Manufacture of Textiles",100780
"1986","¡@CD. Manufacture of Wearing Apparel and Clothing Accessories",62225
"1986","¡@CE. Manufacture of Leather, Fur and Related Products",46207
"1986","¡@CF. Manufacture of Wood and of Products of Wood and Bamboo Products",20765
"1986","¡@CG. Manufacture of Paper and Paper Products",31826
"1986","¡@CH. Printing and Reproduction of Recorded Media",13151
"1986","¡@CI. Manufacture of Petroleum and Coal Products",57713
"1986","¡@CJ. Manufacture of Chemical Materials",80232
"1986","¡@CK. Manufacture of Other Chemical Products",13909
"1986","¡@CL. Manufacture of Pharmaceuticals and Medicinal Chemical Products",5663
"1986","¡@CM. Manufacture of Rubber Products",10959
"1986","¡@CN. Manufacture of Plastics Products",58633
"1986","¡@CO. Manufacture of Other Non-metallic Mineral Products",41304
"1986","¡@CP. Manufacture of Basic Metals",50644
"1986","¡@CQ. Manufacture of Fabricated Metal Products",61412
"1986","¡@CR. Manufacture of Electronic Parts and Components",54999
"1986","¡@CS. Manufacture of Computers, Electronic and Optical Products",54578
"1986","¡@CT. Manufacture of Electrical Equipment",49785
"1986","¡@CU. Manufacture of Machinery and Equipment",30198
"1986","¡@CV. Manufacture of Motor Vehicles and Parts",29651
"1986","¡@CW. Manufacture of Other Transport Equipment and Parts",32523
"1986","¡@CX. Manufacture of Furniture",14289
"1986","¡@CY. Other Manufacturing",73695
"1986","¡@DA. Electricity Supply",94261
"1986","¡@DB. Gas Supply",15604
"1986","¡@EA. Water Supply",6892
"1986","¡@EB. Remediation Activities",12624
"1986","¡@GA. Wholesale Trade",160025
"1986","¡@GB. Retail Trade",191843
"1986","¡@HA. Land Transportation",70220
"1986","¡@HB. Water Transportation",16499
"1986","¡@HC. Air Transport",13265
"1986","¡@HD. Support Activities for Transportation; Warehousing and Storage",25700
"1986","¡@HE. Postal and Courier Activities",5069
"1986","¡@IA. Accommodation",13689
"1986","¡@IB. Food and Beverage Service Activities",26526
"1986","¡@JA. Publishing, Motion Picture, Video and Music Production and Broadcasting Activities",10511
"1986","¡@JB. Telecommunications",46734
"1986","¡@JC. Related Service of Computer and Information",3309
"1986","K. Financial and Insurance Activities",111874
"1986","¡@KA. Financial Service Activities",85045
"1986","¡@KB. Insurance",23792
"1986","¡@KC. Security, Commodity Contracts and Activities Auxiliary to Financial Service Activities",3037
"1986","¡@LA. Real Estate Activities",13340
"1986","¡@LB. Ownership of Dwellings",137841
"1986","¡@NA. Rental and Leasing Activities",8805
"1986","¡@NB. Other Support Service Activities",6001
"1986","¡@QA. Human Health Activities",29076
"1986","¡@QB. Social Work Activities",1638
"1986","¡@SA. Activities of Membership Organizations",8977
"1986","¡@SB. Activities of Households as Employers of Domestic Personnel",16265
"1986","¡@SC. Other Personal Service Activities",40313
"1986","Total ( by production approach )",2965448
"1986","Statistical Discrepancy",0
"1986","GDP",2965448
"1987","¡@AA. Agriculture, Horticulture and Agrarian Activities",102510
"1987","¡@AB.  Animal Husbandry",19768
"1987","¡@AC. Forestry",7166
"1987","¡@AD. Fishing and Aquaculture",44049
"1987","¡@CA.  Manufacture of Food Products and Prepared Animal Feeds",74280
"1987","¡@CB. Manufacture of Beverages and Tobacco Products",61409
"1987","¡@CC. Manufacture of Textiles",106909
"1987","¡@CD. Manufacture of Wearing Apparel and Clothing Accessories",58945
"1987","¡@CE. Manufacture of Leather, Fur and Related Products",45731
"1987","¡@CF. Manufacture of Wood and of Products of Wood and Bamboo Products",23688
"1987","¡@CG. Manufacture of Paper and Paper Products",33920
"1987","¡@CH. Printing and Reproduction of Recorded Media",14027
"1987","¡@CI. Manufacture of Petroleum and Coal Products",67982
"1987","¡@CJ. Manufacture of Chemical Materials",89097
"1987","¡@CK. Manufacture of Other Chemical Products",15915
"1987","¡@CL. Manufacture of Pharmaceuticals and Medicinal Chemical Products",6492
"1987","¡@CM. Manufacture of Rubber Products",11897
"1987","¡@CN. Manufacture of Plastics Products",63749
"1987","¡@CO. Manufacture of Other Non-metallic Mineral Products",45969
"1987","¡@CP. Manufacture of Basic Metals",54452
"1987","¡@CQ. Manufacture of Fabricated Metal Products",68070
"1987","¡@CR. Manufacture of Electronic Parts and Components",59866
"1987","¡@CS. Manufacture of Computers, Electronic and Optical Products",64647
"1987","¡@CT. Manufacture of Electrical Equipment",56342
"1987","¡@CU. Manufacture of Machinery and Equipment",36366
"1987","¡@CV. Manufacture of Motor Vehicles and Parts",37007
"1987","¡@CW. Manufacture of Other Transport Equipment and Parts",36362
"1987","¡@CX. Manufacture of Furniture",16612
"1987","¡@CY. Other Manufacturing",75792
"1987","¡@DA. Electricity Supply",105462
"1987","¡@DB. Gas Supply",17326
"1987","¡@EA. Water Supply",7653
"1987","¡@EB. Remediation Activities",14573
"1987","¡@GA. Wholesale Trade",182201
"1987","¡@GB. Retail Trade",207948
"1987","¡@HA. Land Transportation",75996
"1987","¡@HB. Water Transportation",16177
"1987","¡@HC. Air Transport",16536
"1987","¡@HD. Support Activities for Transportation; Warehousing and Storage",32108
"1987","¡@HE. Postal and Courier Activities",5885
"1987","¡@IA. Accommodation",15022
"1987","¡@IB. Food and Beverage Service Activities",31847
"1987","¡@JA. Publishing, Motion Picture, Video and Music Production and Broadcasting Activities",12374
"1987","¡@JB. Telecommunications",53206
"1987","¡@JC. Related Service of Computer and Information",3898
"1987","K. Financial and Insurance Activities",147678
"1987","¡@KA. Financial Service Activities",109267
"1987","¡@KB. Insurance",30705
"1987","¡@KC. Security, Commodity Contracts and Activities Auxiliary to Financial Service Activities",7706
"1987","¡@LA. Real Estate Activities",17521
"1987","¡@LB. Ownership of Dwellings",160936
"1987","¡@NA. Rental and Leasing Activities",8801
"1987","¡@NB. Other Support Service Activities",6967
"1987","¡@QA. Human Health Activities",37817
"1987","¡@QB. Social Work Activities",2003
"1987","¡@SA. Activities of Membership Organizations",9178
"1987","¡@SB. Activities of Households as Employers of Domestic Personnel",17453
"1987","¡@SC. Other Personal Service Activities",44675
"1987","Total ( by production approach )",3325211
"1987","Statistical Discrepancy",19724
"1987","GDP",3344935
"1988","¡@AA. Agriculture, Horticulture and Agrarian Activities",108186
"1988","¡@AB.  Animal Husbandry",19048
"1988","¡@AC. Forestry",7539
"1988","¡@AD. Fishing and Aquaculture",44081
"1988","¡@CA.  Manufacture of Food Products and Prepared Animal Feeds",72305
"1988","¡@CB. Manufacture of Beverages and Tobacco Products",59945
"1988","¡@CC. Manufacture of Textiles",94693
"1988","¡@CD. Manufacture of Wearing Apparel and Clothing Accessories",51434
"1988","¡@CE. Manufacture of Leather, Fur and Related Products",44524
"1988","¡@CF. Manufacture of Wood and of Products of Wood and Bamboo Products",21240
"1988","¡@CG. Manufacture of Paper and Paper Products",34457
"1988","¡@CH. Printing and Reproduction of Recorded Media",16612
"1988","¡@CI. Manufacture of Petroleum and Coal Products",71579
"1988","¡@CJ. Manufacture of Chemical Materials",94634
