DATAFLOW,INDICATOR: Indicator,REF_AREA: Reference area,LOCATION: Degree of Urbanisation,DEPOSIT: Deposit,ECONOMIC_SECTOR: Economic Sector,PAYMENT_RATIO_TYPE: Payment Ratio Type,EXPENDITURE: Expenditure,UNIT_MEASURE: Unit of measure,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,UNIT_MULTIPLIER: Unit multiplier,RESPONSIBLE_AGENCY: Responsible agency,DATA_SOURCE: Data source
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2014,7.1,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_77: MoP, NIS_National Accounts, Bulletin_2015"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2015,7,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_78: MoP, NIS_National Accounts, Bulletin_2016"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2016,7,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_79: MoP, NIS_National Accounts, Bulletin_2017"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2017,7,0: Units,MOP_NIS: Ministry of Planning,
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CONSTANT_PRICES: Annual GDP Growth Rate at Constant Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2018,7.5,0: Units,MOP_NIS: Ministry of Planning,
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1994,4.3,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1995,18.7,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1996,9.1,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1997,10.3,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1998,15.5,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,1999,14.1,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2000,5.3,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2001,11,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
